_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,audience,audience:confidence,bias,bias:confidence,message,message:confidence,orig__golden,audience_gold,bias_gold,bioid,embed,id,label,message_gold,source,text
766192494,FALSE,finalized,1,8/4/15 20:35,national,1,partisan,1,policy,1,,,,F000456,"<blockquote class=""twitter-tweet"" width=""450""><p>As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca</p> John Fleming (@RepFleming) <a href='https://twitter.com/RepFleming/status/468471768085442560'>2014-05-19 15:22:27</a></blockquote>",4.68472E+17,From: John Fleming (Representative from Louisiana),,twitter,"As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca"
766192495,FALSE,finalized,1,8/4/15 21:15,national,1,partisan,1,attack,1,,,,K000378,"<blockquote class=""twitter-tweet"" width=""450""><p>The President doesnâ€™t get to just decide he doesnâ€™t like Congress and do his own thing: http://t.co/jmclKjUzSG</p> Adam Kinzinger (@RepKinzinger) <a href='https://twitter.com/RepKinzinger/status/535478245596999680'>2014-11-20 12:02:17</a></blockquote>",5.35478E+17,From: Adam Kinzinger (Representative from Illinois),,twitter,The President doesnâ€™t get to just decide he doesnâ€™t like Congress and do his own thing: http://t.co/jmclKjUzSG
766192496,FALSE,finalized,1,8/4/15 21:18,national,1,neutral,1,policy,1,,,,C000174,"<blockquote class=""twitter-tweet"" width=""450""><p>FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets.</p> Senator Tom Carper (@SenatorCarper) <a href='https://twitter.com/SenatorCarper/status/435828863776878593'>2014-02-18 12:31:13</a></blockquote>",4.35829E+17,From: Thomas Carper (Senator from Delaware),,twitter,"FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets."
766192497,FALSE,finalized,1,8/4/15 20:16,national,1,neutral,1,information,1,,,,H001045,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g</p> Gregg Harper (@GreggHarper) <a href='https://twitter.com/GreggHarper/status/407547197484716032'>2013-12-02 11:29:58</a></blockquote>",4.07547E+17,From: Gregg Harper (Representative from Mississippi),,twitter,RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g
766192498,FALSE,finalized,1,8/4/15 20:55,constituency,1,neutral,1,personal,1,,,,D000355,"<blockquote class=""twitter-tweet"" width=""450""><p>@SkitchP Wouldn't wish that on anyone. Even you, Skitch.</p> John Dingell (@john_dingell) <a href='https://twitter.com/john_dingell/status/510235923746136064'>2014-09-11 21:18:18</a></blockquote>",5.10236E+17,From: John Dingell (Representative from Michigan),,twitter,"@SkitchP Wouldn't wish that on anyone. Even you, Skitch."
766192499,FALSE,finalized,1,8/4/15 20:38,national,1,partisan,1,policy,1,,,,G000555,"<blockquote class=""twitter-tweet"" width=""450""><p>At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets.</p> Kirsten Gillibrand (@SenGillibrand) <a href='https://twitter.com/SenGillibrand/status/430468973528772608'>2014-02-03 17:32:55</a></blockquote>",4.30469E+17,From: Kirsten Gillibrand (Senator from New York),,twitter,"At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets."
766192500,FALSE,finalized,1,8/4/15 21:13,national,1,neutral,1,personal,1,,,,B001288,"<blockquote class=""twitter-tweet"" width=""450""><p>""...if you have come because your liberation is bound up with mine, then let us work together."" â€“ Lilla Watson http://t.co/6WPXW9QUM0</p> Cory Booker (@CoryBooker) <a href='https://twitter.com/CoryBooker/status/455686088397316097'>2014-04-14 08:36:44</a></blockquote>",4.55686E+17,From: Cory Booker (Senator from New Jersey),,twitter,"""...if you have come because your liberation is bound up with mine, then let us work together."" â€“ Lilla Watson http://t.co/6WPXW9QUM0"
766192501,FALSE,finalized,1,8/4/15 21:25,national,1,neutral,1,support,1,,,,E000293,"<blockquote class=""twitter-tweet"" width=""450""><p>For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled</p> Elizabeth Esty (@RepEsty) <a href='https://twitter.com/RepEsty/status/415131548988735488'>2013-12-23 09:47:28</a></blockquote>",4.15132E+17,From: Elizabeth Esty (Representative from Connecticut),,twitter,"For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled"
766192502,FALSE,finalized,1,8/4/15 21:14,national,1,neutral,1,support,1,,,,C001046,"<blockquote class=""twitter-tweet"" width=""450""><p>The House will vote this week to #DefundObamacare and keep the government open.</p> Eric Cantor (@GOPLeader) <a href='https://twitter.com/GOPLeader/status/377441488848039937'>2013-09-10 10:40:38</a></blockquote>",3.77441E+17,From: Eric Cantor (Representative from Virginia),,twitter,The House will vote this week to #DefundObamacare and keep the government open.
766192503,FALSE,finalized,1,8/4/15 21:26,national,1,partisan,1,support,1,,,,T000469,"<blockquote class=""twitter-tweet"" width=""450""><p>Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT</p> Paul Tonko (@RepPaulTonko) <a href='https://twitter.com/RepPaulTonko/status/434041902737129472'>2014-02-13 14:10:28</a></blockquote>",4.34042E+17,From: Paul Tonko (Representative from New York),,twitter,Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT
766192504,FALSE,finalized,1,8/4/15 21:09,national,1,neutral,1,support,1,,,,C000880,"<blockquote class=""twitter-tweet"" width=""450""><p>A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv</p> Senator Mike Crapo (@MikeCrapo) <a href='https://twitter.com/MikeCrapo/status/308696811168731136'>2013-03-04 16:53:49</a></blockquote>",3.08697E+17,From: Michael Crapo (Senator from Idaho),,twitter,A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv
766192505,FALSE,finalized,1,8/4/15 21:01,national,1,neutral,1,other,1,,,,H000338,"<blockquote class=""twitter-tweet"" width=""450""><p>#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon</p> Senator Hatch Office (@SenOrrinHatch) <a href='https://twitter.com/SenOrrinHatch/status/490949558340706304'>2014-07-20 16:01:10</a></blockquote>",4.9095E+17,From: Orrin Hatch (Senator from Utah),,twitter,"#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon"
766192506,FALSE,finalized,1,8/5/15 1:00,national,1,neutral,1,policy,1,,,,T000465,"<blockquote class=""twitter-tweet"" width=""450""><p>RT if you agree: It's time to #ActOnClimate change â†’ more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ</p> Niki Tsongas (@nikiinthehouse) <a href='https://twitter.com/nikiinthehouse/status/463783605798707200'>2014-05-06 16:53:22</a></blockquote>",4.63784E+17,From: Niki Tsongas (Representative from Massachusetts),,twitter,RT if you agree: It's time to #ActOnClimate change â†’ more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ
766192507,FALSE,finalized,1,8/4/15 21:01,national,1,neutral,1,policy,1,,,,B001280,"<blockquote class=""twitter-tweet"" width=""450""><p>We will vote on the Working Families Flexibility Act. Would you like the flexibility to choose how you're comp'd for overtime? #YourTime</p> Kerry Bentivolio (@RepKerryB) <a href='https://twitter.com/RepKerryB/status/331812163649933313'>2013-05-07 12:45:59</a></blockquote>",3.31812E+17,From: Kerry Bentivolio (Representative from Michigan),,twitter,We will vote on the Working Families Flexibility Act. Would you like the flexibility to choose how you're comp'd for overtime? #YourTime
766192508,FALSE,finalized,1,8/4/15 21:12,constituency,1,neutral,1,constituency,1,,,,S000250,"<blockquote class=""twitter-tweet"" width=""450""><p>Reminder: Next week, my office will be holding mobile office hours in Sachse and Wylie. Learn more: http://t.co/38p28m2O0I #TX32</p> Pete Sessions (@PeteSessions) <a href='https://twitter.com/PeteSessions/status/319875255009165312'>2013-04-04 14:12:58</a></blockquote>",3.19875E+17,From: Pete Sessions (Representative from Texas),,twitter,"Reminder: Next week, my office will be holding mobile office hours in Sachse and Wylie. Learn more: http://t.co/38p28m2O0I #TX32"
766192509,FALSE,finalized,1,8/4/15 21:21,national,1,partisan,1,support,1,,,,R000361,"<blockquote class=""twitter-tweet"" width=""450""><p>This wkâ€™s 1 min video is on how expanding Medicaid in #WV will help so many families get affordable health care. http://t.co/VDUMX9R4x5</p> Jay Rockefeller (@SenRockefeller) <a href='https://twitter.com/SenRockefeller/status/343148535816024064'>2013-06-07 19:32:40</a></blockquote>",3.43149E+17,From: John Rockefeller IV (Senator from West Virginia),,twitter,This wkâ€™s 1 min video is on how expanding Medicaid in #WV will help so many families get affordable health care. http://t.co/VDUMX9R4x5
766192510,FALSE,finalized,1,8/4/15 21:20,national,1,neutral,1,personal,1,,,,W000809,"<blockquote class=""twitter-tweet"" width=""450""><p>Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.</p> Rep. Steve Womack (@rep_stevewomack) <a href='https://twitter.com/rep_stevewomack/status/336591190055088129'>2013-05-20 17:16:07</a></blockquote>",3.36591E+17,From: Steve Womack (Representative from Arkansas),,twitter,Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.
766192511,FALSE,finalized,1,8/4/15 21:22,national,1,partisan,1,attack,1,,,,H001059,"<blockquote class=""twitter-tweet"" width=""450""><p>Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7</p> Rep. Randy Hultgren (@RepHultgren) <a href='https://twitter.com/RepHultgren/status/487652360798601216'>2014-07-11 13:39:17</a></blockquote>",4.87652E+17,From: Randy Hultgren (Representative from Illinois),,twitter,Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7
766192512,FALSE,finalized,1,8/4/15 21:26,national,1,partisan,1,policy,1,,,,C001070,"<blockquote class=""twitter-tweet"" width=""450""><p>Slashing Amtrakâ€™s funding by 1/3 at a time of increasing ridership will hurt PAâ€™s economy. http://t.co/dqtBbksslg https://t.co/4y6igwxWnr</p> Senator Bob Casey (@SenBobCasey) <a href='https://twitter.com/SenBobCasey/status/354319933099876352'>2013-07-08 15:23:49</a></blockquote>",3.5432E+17,From: Bob Casey (Senator from Pennsylvania),,twitter,Slashing Amtrakâ€™s funding by 1/3 at a time of increasing ridership will hurt PAâ€™s economy. http://t.co/dqtBbksslg https://t.co/4y6igwxWnr
766192513,FALSE,finalized,1,8/4/15 21:30,national,1,neutral,1,information,1,,,,D000618,"<blockquote class=""twitter-tweet"" width=""450""><p>American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR</p> Steve Daines (@SteveDaines) <a href='https://twitter.com/SteveDaines/status/486529912061194240'>2014-07-08 11:19:04</a></blockquote>",4.8653E+17,From: Steve Daines (Representative from Montana),,twitter,"American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR"
766192514,FALSE,finalized,1,8/4/15 20:59,national,1,partisan,1,attack,1,,,,F000456,"<blockquote class=""twitter-tweet"" width=""450""><p>#Obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzZKMqJ</p> John Fleming (@RepFleming) <a href='https://twitter.com/RepFleming/status/458284531712528384'>2014-04-21 12:42:01</a></blockquote>",4.58285E+17,From: John Fleming (Representative from Louisiana),,twitter,"#Obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzZKMqJ"
766192515,FALSE,finalized,2,8/4/15 20:38,national,1,partisan,0.5085,policy,0.5085,,,,P000591,"<blockquote class=""twitter-tweet"" width=""450""><p>MUST READ from @marcthiessen -- ""Kidnapped Libyan prime minister pays the price for an Obama leak"" http://t.co/MHHab1V0XD</p> Tom Price (@RepTomPrice) <a href='https://twitter.com/RepTomPrice/status/388385506771218432'>2013-10-10 15:28:15</a></blockquote>",3.88386E+17,From: Tom Price (Representative from Georgia),,twitter,"MUST READ from @marcthiessen -- ""Kidnapped Libyan prime minister pays the price for an Obama leak"" http://t.co/MHHab1V0XD"
766192516,FALSE,finalized,1,8/4/15 20:48,national,1,partisan,1,information,1,,,,L000263,"<blockquote class=""twitter-tweet"" width=""450""><p>Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz</p> Sandy Levin (@repsandylevin) <a href='https://twitter.com/repsandylevin/status/454359261892452352'>2014-04-10 16:44:24</a></blockquote>",4.54359E+17,From: Sander Levin (Representative from Michigan),,twitter,Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz
766192517,FALSE,finalized,1,8/4/15 20:51,national,1,partisan,1,personal,1,,,,M000355,"<blockquote class=""twitter-tweet"" width=""450""><p>In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP</p> Sen. McConnell Press (@McConnellPress) <a href='https://twitter.com/McConnellPress/status/542794793278271488'>2014-12-10 16:35:38</a></blockquote>",5.42795E+17,From: Mitch McConnell (Senator from Kentucky),,twitter,"In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP"
766192518,FALSE,finalized,1,8/4/15 20:59,constituency,1,neutral,1,personal,1,,,,C001092,"<blockquote class=""twitter-tweet"" width=""450""><p>.@HouseofCards, if you donâ€™t like Long Island wine, I suggest giving @FLXWineCountry or @Niagwinetrail wines a try.</p> Rep. Chris Collins (@RepChrisCollins) <a href='https://twitter.com/RepChrisCollins/status/436199087369502721'>2014-02-19 13:02:21</a></blockquote>",4.36199E+17,From: Chris Collins (Representative from New York),,twitter,".@HouseofCards, if you donâ€™t like Long Island wine, I suggest giving @FLXWineCountry or @Niagwinetrail wines a try."
766192519,FALSE,finalized,1,8/4/15 21:21,national,1,neutral,1,information,1,,,,R000591,"<blockquote class=""twitter-tweet"" width=""450""><p>""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab</p> Rep. Martha Roby  (@RepMarthaRoby) <a href='https://twitter.com/RepMarthaRoby/status/396284824714899457'>2013-11-01 10:37:19</a></blockquote>",3.96285E+17,From: Martha Roby (Representative from Alabama),,twitter,"""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab"
766192520,FALSE,finalized,1,8/4/15 21:11,national,1,neutral,1,policy,1,,,,R000576,"<blockquote class=""twitter-tweet"" width=""450""><p>$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX</p> Dutch Ruppersberger (@Call_Me_Dutch) <a href='https://twitter.com/Call_Me_Dutch/status/509406798026399744'>2014-09-09 14:23:39</a></blockquote>",5.09407E+17,From: C.A. Dutch Ruppersberger (Representative from Maryland),,twitter,$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX
766192521,FALSE,finalized,1,8/4/15 20:59,constituency,1,partisan,1,policy,1,,,,G000359,"<blockquote class=""twitter-tweet"" width=""450""><p>Job well done by the members of the SC House of Representatives who voted down Medicaid expansion yesterday.  #scnews</p> Lindsey Graham (@GrahamBlog) <a href='https://twitter.com/GrahamBlog/status/311832378987405312'>2013-03-13 09:33:27</a></blockquote>",3.11832E+17,From: Lindsey Graham (Senator from South Carolina),,twitter,Job well done by the members of the SC House of Representatives who voted down Medicaid expansion yesterday.  #scnews
766192522,FALSE,finalized,1,8/4/15 21:11,constituency,1,neutral,1,media,1,,,,T000459,"<blockquote class=""twitter-tweet"" width=""450""><p>Gearing up for coffee w/ constituents this morning at D &amp; K's Gretna Cafe at 8:30. Be sure to stop by..looking forward to speaking w/ folks!</p> Rep. Lee Terry (@LEETERRYNE) <a href='https://twitter.com/LEETERRYNE/status/472724415919046656'>2014-05-31 09:00:58</a></blockquote>",4.72724E+17,From: Lee Terry (Representative from Nebraska),,twitter,Gearing up for coffee w/ constituents this morning at D &amp; K's Gretna Cafe at 8:30. Be sure to stop by..looking forward to speaking w/ folks!
766192523,FALSE,finalized,1,8/4/15 21:08,national,1,neutral,1,support,1,,,,B001242,"<blockquote class=""twitter-tweet"" width=""450""><p>.@askgeorge has been a dedicated public servant &amp; his leadership on @edworkforcedems will be missed. I wish him the best in retirement.</p> Tim Bishop (@TimBishopNY) <a href='https://twitter.com/TimBishopNY/status/422783290529951744'>2014-01-13 12:32:46</a></blockquote>",4.22783E+17,From: Timothy Bishop (Representative from New York),,twitter,.@askgeorge has been a dedicated public servant &amp; his leadership on @edworkforcedems will be missed. I wish him the best in retirement.
766192524,FALSE,finalized,1,8/4/15 21:24,constituency,1,partisan,1,policy,1,,,,W000797,"<blockquote class=""twitter-tweet"" width=""450""><p>#Florida is ""tale of what went right with President Barack Obama's health care overhaulâ€ù despite GOP opposition: http://t.co/bhsAcU3Wje</p> D Wasserman Schultz (@DWStweets) <a href='https://twitter.com/DWStweets/status/449207840033755136'>2014-03-27 11:34:29</a></blockquote>",4.49208E+17,From: Debbie Wasserman Schultz (Representative from Florida),,twitter,"#Florida is ""tale of what went right with President Barack Obama's health care overhaulâ€ù despite GOP opposition: http://t.co/bhsAcU3Wje"
766192525,FALSE,finalized,1,8/4/15 20:18,national,1,neutral,1,mobilization,1,,,,S001180,"<blockquote class=""twitter-tweet"" width=""450""><p>If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight</p> Rep. Kurt Schrader (@RepSchrader) <a href='https://twitter.com/RepSchrader/status/357577308711829504'>2013-07-17 15:07:28</a></blockquote>",3.57577E+17,From: Kurt Schrader (Representative from Oregon),,twitter,"If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight"
766192526,FALSE,finalized,1,8/4/15 20:44,constituency,1,neutral,1,support,1,,,,B001260,"<blockquote class=""twitter-tweet"" width=""450""><p>FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5</p> Rep. Vern Buchanan (@VernBuchanan) <a href='https://twitter.com/VernBuchanan/status/477097223218401282'>2014-06-12 10:36:56</a></blockquote>",4.77097E+17,From: Vern Buchanan (Representative from Florida),,twitter,FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5
766192527,FALSE,finalized,1,8/4/15 21:01,national,1,neutral,1,media,1,,,,M000303,"<blockquote class=""twitter-tweet"" width=""450""><p>Meeting the press in #Jerusalem with @GrahamBlog #Israel http://t.co/FIbhbOpSwh</p> John McCain (@SenJohnMcCain) <a href='https://twitter.com/SenJohnMcCain/status/351400597766955008'>2013-06-30 14:03:25</a></blockquote>",3.51401E+17,From: John McCain (Senator from Arizona),,twitter,Meeting the press in #Jerusalem with @GrahamBlog #Israel http://t.co/FIbhbOpSwh
766192528,FALSE,finalized,1,8/4/15 20:21,national,1,partisan,1,policy,1,,,,P000607,"<blockquote class=""twitter-tweet"" width=""450""><p>Video of my speech on house floor, rejecting #GOPBudget that cuts jobs in #WI and turns #Medicare into a voucher http://t.co/tItIxBrF4C</p> U.S. Rep. Mark Pocan (@repmarkpocan) <a href='https://twitter.com/repmarkpocan/status/314144535049560065'>2013-03-19 18:41:08</a></blockquote>",3.14145E+17,From: Mark Pocan (Representative from Wisconsin),,twitter,"Video of my speech on house floor, rejecting #GOPBudget that cuts jobs in #WI and turns #Medicare into a voucher http://t.co/tItIxBrF4C"
766192529,FALSE,finalized,1,8/4/15 21:22,national,1,partisan,1,policy,1,,,,H000206,"<blockquote class=""twitter-tweet"" width=""450""><p>What other options are there for raising $350 billion with such a negligible impact on middle-class Americans and Main Street businesses?</p> Tom Harkin (@SenatorHarkin) <a href='https://twitter.com/SenatorHarkin/status/307188419048648705'>2013-02-28 13:00:01</a></blockquote>",3.07188E+17,From: Tom Harkin (Senator from Iowa),,twitter,What other options are there for raising $350 billion with such a negligible impact on middle-class Americans and Main Street businesses?
766192530,FALSE,finalized,1,8/4/15 20:11,constituency,1,neutral,1,constituency,1,,,,B001242,"<blockquote class=""twitter-tweet"" width=""450""><p>Thanks to LI Farm Bureau for hosting me to speak directly with farmers about issues most important to them http://t.co/ttbdLjiMjd</p> Tim Bishop (@TimBishopNY) <a href='https://twitter.com/TimBishopNY/status/313664328123424769'>2013-03-18 10:52:58</a></blockquote>",3.13664E+17,From: Timothy Bishop (Representative from New York),,twitter,Thanks to LI Farm Bureau for hosting me to speak directly with farmers about issues most important to them http://t.co/ttbdLjiMjd
766192531,FALSE,finalized,1,8/4/15 20:41,national,1,neutral,1,information,1,,,,H000874,"<blockquote class=""twitter-tweet"" width=""450""><p>For 23 years, the Americans with Disabilities Act has been opening doors for tens of millions of Americans. http://t.co/tezFwZ1iS1</p> Steny Hoyer (@WhipHoyer) <a href='https://twitter.com/WhipHoyer/status/360807028421177345'>2013-07-26 13:01:13</a></blockquote>",3.60807E+17,From: Steny Hoyer (Representative from Maryland),,twitter,"For 23 years, the Americans with Disabilities Act has been opening doors for tens of millions of Americans. http://t.co/tezFwZ1iS1"
